symbol,side,tms,is_new,rule_take,reason,move15m,ok_move,ok_break,ok_vol,break_level,taken,entry_px,exit_px,entry_time,exit_time,exit_reason,pnl_r,risk,stop_px_initial
MYXUSDT,LONG,1758790290179,False,False,no_confirm,0.09216061185468437,,,,10.942,,,,,,,,,
VELVETUSDT,LONG,1758779394142,False,False,no_trigger,-0.0071736011477761315,False,False,False,,,,,,,,,,
STBLUSDT,LONG,1758771938434,False,False,no_trigger,0.0030902832107651892,False,False,False,,,,,,,,,,
STBLUSDT,LONG,1758761678506,False,False,no_trigger,0.009796682814385277,False,False,False,,,,,,,,,,
XPLUSDT,LONG,1758736263536,,False,no_15m_bar,,,,,,,,,,,,,,
STBLUSDT,LONG,1758731423420,False,False,no_trigger,0.014387669880798785,False,True,False,,,,,,,,,,
STBLUSDT,LONG,1758728760777,False,False,no_trigger,0.010162437368676214,False,False,False,,,,,,,,,,
PUMPUSDT,LONG,1758725142032,False,False,no_trigger,0.004442981734408444,False,False,False,,,,,,,,,,
BTCUSDT,LONG,1758720142199,,False,no_15m_bar,,,,,,,,,,,,,,
AAVEUSDT,SHORT,1758720142199,False,False,no_trigger,-0.0003571301024962176,False,False,False,,,,,,,,,,
WLDUSDT,SHORT,1758720142199,False,False,no_trigger,0.0007455453664356311,False,False,False,,,,,,,,,,
WIFUSDT,SHORT,1758720142199,False,False,no_trigger,-0.00037467216185833267,False,False,False,,,,,,,,,,
STRKUSDT,SHORT,1758720142199,False,False,no_trigger,0.0008090614886731623,False,False,False,,,,,,,,,,
RENDERUSDT,SHORT,1758720142199,False,False,no_trigger,-0.00027285129604362614,False,False,False,,,,,,,,,,
HYPEUSDT,LONG,1758720142199,,False,no_15m_bar,,,,,,,,,,,,,,
WLDUSDT,SHORT,1758720142199,False,False,no_trigger,0.0007455453664356311,False,False,False,,,,,,,,,,
ASTERUSDT,SHORT,1758720142199,,False,no_15m_bar,,,,,,,,,,,,,,
SOLUSDT,SHORT,1758720142179,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1758720142179,,False,no_15m_bar,,,,,,,,,,,,,,
MINAUSDT,SHORT,1758720142179,False,False,no_trigger,0.0,False,False,False,,,,,,,,,,
VIRTUALUSDT,SHORT,1758720142179,False,False,no_trigger,-0.002716899112479726,False,False,False,,,,,,,,,,
XPLUSDT,LONG,1758720142179,,False,no_15m_bar,,,,,,,,,,,,,,
ZROUSDT,LONG,1758720142179,False,False,no_trigger,-0.007432946760399386,False,False,False,,,,,,,,,,
ONDOUSDT,SHORT,1758720142179,False,False,no_trigger,-0.00021482277121384423,False,False,False,,,,,,,,,,
INUSDT,LONG,1758717220549,False,False,no_trigger,-0.0252671617460605,False,False,False,,,,,,,,,,
XPLUSDT,SHORT,1758705021113,,False,no_15m_bar,,,,,,,,,,,,,,
STBLUSDT,LONG,1758700998466,False,False,no_trigger,-0.007156698669955145,False,False,False,,,,,,,,,,
ASTERUSDT,LONG,1758694573992,,False,no_15m_bar,,,,,,,,,,,,,,
HYPEUSDT,SHORT,1758685693816,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1758679943144,,False,no_15m_bar,,,,,,,,,,,,,,
HYPEUSDT,SHORT,1758632447972,,False,no_15m_bar,,,,,,,,,,,,,,
ASTERUSDT,LONG,1758632131130,,False,no_15m_bar,,,,,,,,,,,,,,
BLESSUSDT,SHORT,1758620273620,True,False,no_trigger,0.30040909090909096,False,False,False,,,,,,,,,,
AVNTUSDT,SHORT,1758617358599,False,False,no_trigger,0.0019742362173634093,False,False,False,,,,,,,,,,
ALPHAUSDT,SHORT,1758611925464,False,False,no_trigger,-0.01953657428441617,False,False,False,,,,,,,,,,
ALPHAUSDT,LONG,1758609930663,False,False,no_trigger,0.06681222707423581,True,True,False,,,,,,,,,,
XPLUSDT,LONG,1758608883493,,False,no_15m_bar,,,,,,,,,,,,,,
ALPHAUSDT,SHORT,1758607391409,False,False,no_trigger,-0.04566635601118352,False,False,False,,,,,,,,,,
ALPHAUSDT,LONG,1758604860691,False,False,no_trigger,0.07446808510638299,True,False,False,,,,,,,,,,
UXLINKUSDT,LONG,1758597483730,False,False,no_trigger,-0.0032154340836012298,False,False,False,,,,,,,,,,
UXLINKUSDT,LONG,1758596877695,False,False,no_trigger,0.29045643153526957,True,False,True,,,,,,,,,,
AVNTUSDT,SHORT,1758594248885,False,False,no_trigger,-0.021370474722236996,False,True,False,,,,,,,,,,
TWTUSDT,LONG,1758563318394,False,False,no_trigger,-0.0008145975887912284,False,False,False,,,,,,,,,,
AVNTUSDT,SHORT,1758552400382,False,False,no_trigger,-0.03064066852367687,False,True,False,,,,,,,,,,
AVNTUSDT,SHORT,1758536597071,False,False,no_trigger,-0.00024366471734900923,False,False,False,,,,,,,,,,
HYPEUSDT,SHORT,1758472054594,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1758456482419,,False,no_15m_bar,,,,,,,,,,,,,,
AVNTUSDT,LONG,1758437971466,False,False,no_trigger,0.02654945835553171,False,True,False,,,,,,,,,,
TWTUSDT,LONG,1758429886959,False,False,no_trigger,0.012950163695889442,False,False,False,,,,,,,,,,
TRADOORUSDT,LONG,1758423349827,True,False,no_trigger,0.05837215675527544,False,True,False,,,,,,,,,,
HYPEUSDT,SHORT,1758391613927,,False,no_15m_bar,,,,,,,,,,,,,,
